"id","app_label","model"
1,admin,logentry
2,auth,permission
3,auth,group
4,auth,user
5,contenttypes,contenttype
6,sessions,session
34,api,vat
35,api,projects
36,api,assetabsences
37,api,invoicetexts
38,api,currencies
39,api,employeeabsences
40,api,companies
41,api,salesstate
42,api,units
43,api,tasktemplates
44,api,invoiceterms
45,api,invoicestates
46,api,tasks
47,api,assettypes
48,api,assets
49,api,sales
50,api,assetabsencecodes
51,api,employeeabsencecodes
52,api,employeetypes
53,api,invoices
54,api,employees
55,api,sysrecstates
56,api,taskstates
